"variable","n_missing","pct_missing"
"sgi_qdcr",143,77.7
"sgi_qdep",143,77.7
"sgi_qdrl",143,77.7
"sgi_qdrlc",143,77.7
"sgi_so",143,77.7
"sgi_soed",143,77.7
"sgi_sofa",143,77.7
"sgi_sogi",143,77.7
"sgi_sohe",143,77.7
"sgi_soin",143,77.7
"sgi_sope",143,77.7
"sgi_sosi",143,77.7
"sgi_sosl",143,77.7
"eu_demd2janf",142,77.2
"eu_demd2janm",142,77.2
"iiag_rs",142,77.2
"aepd_frame",141,76.6
"aepd_legis",141,76.6
"aepd_mix",141,76.6
"aepd_monitor",141,76.6
"aepd_pay",141,76.6
"aepd_rd",141,76.6
"aepd_reg",141,76.6
"aepd_total",141,76.6
"eu_demcnmigratn",141,76.6
"eu_demd2jant",141,76.6
"eu_demgrownnat",141,76.6
"eu_demgrowt",141,76.6
"eu_demlbirthlt",141,76.6
"ictd_taxpaywf",139,75.5
"rsf_sci",138,75
"mad_gdppc1900",137,74.5
"ictd_revres",135,73.4
"wwbi_psefemp",135,73.4
"aii_acc",133,72.3
"aii_aio",133,72.3
"aii_cilser",133,72.3
"aii_elec",133,72.3
"aii_pubm",133,72.3
"aii_q02",133,72.3
"aii_q03",133,72.3
"aii_q04",133,72.3
"aii_q07",133,72.3
"aii_q08",133,72.3
"aii_q09",133,72.3
"aii_q12",133,72.3
"aii_q13",133,72.3
"aii_q14",133,72.3
"aii_q18",133,72.3
"aii_q21",133,72.3
"aii_q22",133,72.3
"aii_q23",133,72.3
"aii_q25",133,72.3
"aii_q26",133,72.3
"aii_q28",133,72.3
"aii_q29",133,72.3
"aii_q30",133,72.3
"aii_q38",133,72.3
"aii_q39",133,72.3
"aii_q42",133,72.3
"aii_q43",133,72.3
"aii_q45",133,72.3
"aii_q47",133,72.3
"aii_q49",133,72.3
"aii_q51",133,72.3
"aii_q52",133,72.3
"aii_q53",133,72.3
"aii_q55",133,72.3
"aii_q56",133,72.3
"aii_rol",133,72.3
"iiag_acc",133,72.3
"iiag_be",133,72.3
"iiag_corr",133,72.3
"iiag_edu",133,72.3
"iiag_feo",133,72.3
"iiag_gen",133,72.3
"iiag_gov",133,72.3
"iiag_hd",133,72.3
"iiag_he",133,72.3
"iiag_ie",133,72.3
"iiag_inf",133,72.3
"iiag_pa",133,72.3
"iiag_par",133,72.3
"iiag_pri",133,72.3
"iiag_rig",133,72.3
"iiag_rolf",133,72.3
"iiag_se",133,72.3
"iiag_sp",133,72.3
"iiag_srol",133,72.3
"iiag_ssaf",133,72.3
"opri_tipsntf",130,70.7
"opri_tipsntt",130,70.7
"wdi_brdeath",130,70.7
"ens_gcon",126,68.5
"wdi_debt",126,68.5
"wdi_idpvc",126,68.5
"wdi_wofm15",126,68.5
"wwbi_psepemp",122,66.3
"wdi_armexp",121,65.8
"wwbi_psemptot",121,65.8
"fao_luagrirrac",119,64.7
"gdg_int",118,64.1
"gdg_part",118,64.1
"gdg_regul",118,64.1
"gdg_resp",118,64.1
"gdg_strat",118,64.1
"gdg_struc",118,64.1
"gdg_total",118,64.1
"wdi_agrland",117,63.6
"fhn_fotnloc",116,63
"fhn_fotnota",116,63
"fhn_fotnsc",116,63
"fhn_fotnst",116,63
"fhn_fotnvur",116,63
"gfs_def",116,63
"gfs_ecaf",116,63
"gfs_educ",116,63
"gfs_gps",116,63
"gfs_hca",116,63
"gfs_heal",116,63
"gfs_pos",116,63
"gfs_rcr",116,63
"gfs_sp",116,63
"h_lfup",114,62
"who_dwrur",112,60.9
"bti_aod",111,60.3
"wdi_bhr",109,59.2
"wdi_effrevmob",109,59.2
"wdi_eqpubres",109,59.2
"wdi_gendeqr",109,59.2
"wdi_piesr",109,59.2
"wdi_prrbgr",109,59.2
"wdi_psm",109,59.2
"wdi_qpubadm",109,59.2
"wdi_spr",109,59.2
"wdi_tacpsr",109,59.2
"qs20_proff_pca",107,58.2
"ictd_soccon",106,57.6
"wdi_birthreg",106,57.6
"ipu_u_s",105,57.1
"ipu_u_sw",105,57.1
"ipu_u_w",105,57.1
"qs20_impar1",104,56.5
"qs20_impar1_lowci",104,56.5
"qs20_impar1_upci",104,56.5
"gol_pest",103,56
"qs20_impar2",103,56
"qs20_impar2_lowci",103,56
"qs20_impar2_upci",103,56
"gol_enpres",101,54.9
"qs20_proff2",101,54.9
"qs20_proff2_lowci",101,54.9
"qs20_proff2_upci",101,54.9
"who_sanitrur",100,54.3
"ajr_settmort",98,53.3
"qs20_proff1",98,53.3
"qs20_proff1_lowci",98,53.3
"qs20_proff1_upci",98,53.3
"who_dwurb",98,53.3
"qs20_proff3",97,52.7
"qs20_proff3_lowci",97,52.7
"qs20_proff3_upci",97,52.7
"ideavt_presvt",86,46.7
"ideavt_prescv",85,46.2
"wdi_litradm",85,46.2
"gd_ptsh",84,45.7
"wdi_birthskill",84,45.7
"wdi_litrad",84,45.7
"yri_agi30",84,45.7
"yri_agi35",84,45.7
"yri_agi40",84,45.7
"yri_agi4160",84,45.7
"yri_agi61",84,45.7
"opri_surg5pef",83,45.1
"opri_surg5pem",83,45.1
"qs20_close_pca",83,45.1
"wdi_hwfr",83,45.1
"wdi_hwfu",83,45.1
"ictd_taxprop",82,44.6
"nelda_fme",82,44.6
"nelda_mbbe",82,44.6
"nelda_mtop",82,44.6
"nelda_noe",82,44.6
"nelda_noea",82,44.6
"nelda_noee",82,44.6
"nelda_noel",82,44.6
"nelda_oa",82,44.6
"nelda_rpae",82,44.6
"nelda_vcdbe",82,44.6
"ens_wat",81,44
"opri_surg5pet",81,44
"wdi_hwf",81,44
"wdi_litry",81,44
"wdi_litradf",80,43.5
"wdi_litrym",80,43.5
"qs20_close1",79,42.9
"yri_fem30",78,42.4
"yri_fem35",78,42.4
"yri_fem40",78,42.4
"yri_fem4160",78,42.4
"yri_fem61",78,42.4
"yri_meanage",78,42.4
"yri_medianage",78,42.4
"yri_mp30",78,42.4
"yri_mp35",78,42.4
"yri_mp40",78,42.4
"yri_mp4160",78,42.4
"yri_mp61",78,42.4
"qs20_close2",77,41.8
"qs20_close3",77,41.8
"wdi_intrate",77,41.8
"wdi_litryf",77,41.8
"who_saniturb",77,41.8
"gted_rfgdp",76,41.3
"gted_rftax",76,41.3
"gted_rfusd",76,41.3
"ictd_grants",73,39.7
"ictd_taxother",72,39.1
"wdi_bifirmpr",72,39.1
"wdi_firfown",72,39.1
"wdi_firftopm",72,39.1
"wdi_firgifttax",72,39.1
"wdi_homicidesm",72,39.1
"wdi_infpay",72,39.1
"gteti_gteti",71,38.6
"opri_surlgpef",71,38.6
"opri_surlgpem",71,38.6
"ucdp_type1",71,38.6
"ucdp_type2",71,38.6
"ucdp_type3",71,38.6
"ucdp_type4",71,38.6
"ens_iml",70,38
"pwt_tfp",70,38
"pwt_tfpppp",70,38
"who_dwtot",69,37.5
"opri_tiusef",68,37
"wdi_homicidesf",68,37
"opri_surlgpet",67,36.4
"wdi_belmedinc",67,36.4
"wdi_gini",67,36.4
"wdi_incsh10h",67,36.4
"wdi_incsh10l",67,36.4
"wdi_incsh202",67,36.4
"wdi_incsh203",67,36.4
"wdi_incsh204",67,36.4
"wdi_incsh20h",67,36.4
"wdi_incsh20l",67,36.4
"wdi_povgap300",67,36.4
"wdi_povgap420",67,36.4
"wdi_povgap830",67,36.4
"ibp_cat",66,35.9
"ibp_leg",66,35.9
"ibp_obi",66,35.9
"ibp_pub",66,35.9
"opri_surg4pef",66,35.9
"opri_surg4pem",66,35.9
"opri_tiuset",66,35.9
"warc_agi35",66,35.9
"warc_agi40",66,35.9
"warc_agi4160",66,35.9
"warc_agi61",66,35.9
"ens_el",65,35.3
"ens_opl",65,35.3
"opri_surg4pet",65,35.3
"ens_con",64,34.8
"ictd_taxind",64,34.8
"who_sanittot",64,34.8
"opri_tilsef",63,34.2
"ens_brdep",62,33.7
"ens_brinc",62,33.7
"ens_cor",62,33.7
"ens_gme",62,33.7
"ens_infir",62,33.7
"ens_info",62,33.7
"ens_inye",62,33.7
"ens_oth",62,33.7
"ens_reg",62,33.7
"opri_tilset",62,33.7
"warc_acov",62,33.7
"warc_fem35",62,33.7
"warc_fem40",62,33.7
"warc_fem61",62,33.7
"warc_leadage",62,33.7
"warc_leadgen",62,33.7
"warc_meanage",62,33.7
"warc_medianage",62,33.7
"warc_min35",62,33.7
"warc_min40",62,33.7
"warc_min4160",62,33.7
"warc_min61",62,33.7
"warc_wmin",62,33.7
"ictd_taxcorp",60,32.6
"bti_aar",57,31
"bti_acp",57,31
"bti_ba",57,31
"bti_cdi",57,31
"bti_ci",57,31
"bti_cps",57,31
"bti_cr",57,31
"bti_csp",57,31
"bti_cst",57,31
"bti_ds",57,31
"bti_eo",57,31
"bti_eos",57,31
"bti_ep",57,31
"bti_epg",57,31
"bti_ffe",57,31
"bti_foe",57,31
"bti_gi",57,31
"bti_gp",57,31
"bti_ic",57,31
"bti_ig",57,31
"bti_ij",57,31
"bti_lod",57,31
"bti_mes",57,31
"bti_mo",57,31
"bti_muf",57,31
"bti_nird",57,31
"bti_pdi",57,31
"bti_poa",57,31
"bti_pp",57,31
"bti_prp",57,31
"bti_ps",57,31
"bti_psi",57,31
"bti_rol",57,31
"bti_sc",57,31
"bti_sdi",57,31
"bti_seb",57,31
"bti_sel",57,31
"bti_si",57,31
"bti_sop",57,31
"bti_ssn",57,31
"bti_st",57,31
"bti_su",57,31
"bti_wr",57,31
"epi_for",57,31
"pwt_cs",57,31
"pwt_csppp",57,31
"pwt_plcs",57,31
"pwt_slcgdp",57,31
"gcdf_droda",55,29.9
"gcdf_groda",55,29.9
"gcdf_groof",55,29.9
"gcdf_lnode",55,29.9
"gcdf_lnoof",55,29.9
"gcdf_lnvof",55,29.9
"gcdf_vgoda",55,29.9
"gcdf_vgoof",55,29.9
"gcdf_vgvof",55,29.9
"wdi_homicides",55,29.9
"opri_yearschoolf",54,29.3
"opri_yearschoolm",54,29.3
"wdi_eneimp",54,29.3
"icrg_qog",51,27.7
"opri_yearschoolt",51,27.7
"wdi_pte",51,27.7
"wdi_ptef",51,27.7
"wdi_ptem",51,27.7
"epi_fsh",50,27.2
"wdi_interexp",50,27.2
"wdi_interrev",48,26.1
"wjp_abs_cor",48,26.1
"wjp_adr",48,26.1
"wjp_civ_just",48,26.1
"wjp_cj_cor",48,26.1
"wjp_cj_delay",48,26.1
"wjp_cj_discr",48,26.1
"wjp_cj_ef_enf",48,26.1
"wjp_cj_fr_govin",48,26.1
"wjp_crim_jus",48,26.1
"wjp_crsys_cor",48,26.1
"wjp_crsys_discr",48,26.1
"wjp_crsys_govinfl",48,26.1
"wjp_exec_br",48,26.1
"wjp_fund_right",48,26.1
"wjp_gov_of_mis",48,26.1
"wjp_gov_pow",48,26.1
"wjp_gov_pow_aud",48,26.1
"wjp_gov_pow_jud",48,26.1
"wjp_gov_pow_leg",48,26.1
"wjp_gov_pow_ngov",48,26.1
"wjp_jud_br",48,26.1
"wjp_leg_br",48,26.1
"wjp_op_gov",48,26.1
"wjp_ord_secur",48,26.1
"wjp_overall",48,26.1
"wjp_pol_mil",48,26.1
"wjp_ppl_civ_jus",48,26.1
"wjp_regul_enforc",48,26.1
"wjp_trans_pow",48,26.1
"bgi_ccs",47,25.5
"bgi_dai",47,25.5
"bgi_dcs",47,25.5
"bgi_eas",47,25.5
"bgi_enpgs",47,25.5
"bgi_epgs",47,25.5
"bgi_fcs",47,25.5
"bgi_ias",47,25.5
"bgi_pgpi",47,25.5
"bgi_sas",47,25.5
"bgi_sci",47,25.5
"bgi_spgs",47,25.5
"gol_enep1",47,25.5
"gpcr_eci",47,25.5
"gpcr_growth",47,25.5
"wdi_ane",47,25.5
"wdi_busden",47,25.5
"wdi_eneuse",47,25.5
"wdi_fossil",47,25.5
"wdi_powcon",47,25.5
"wdi_taxrev",47,25.5
"gol_enep",46,25
"gol_enepo",46,25
"opri_reprlsef",46,25
"opri_reprlsem",46,25
"pwt_hci",46,25
"wdi_gert",46,25
"wdi_gertf",46,25
"wdi_gertm",46,25
"wui_wtui",46,25
"wui_wui",46,25
"ef_bul",45,24.5
