"country","iso","freedom","kinship","log_gdppc","log_pop","urban_pct","trade","internet","unemp","log_oilrent","log_gdppc_c"
"Somalia","SOM","Not Free",0.999904036521912,6.13132697722798,16.6948155826175,53.5010115886789,90.7576203077526,27.6,19.05,0,-2.55805387674521
"Slovakia","SVK","Free",0.49962916970253,9.85034148176861,15.5077722918029,53.1902831072528,204.056318531151,89.0677,6.143,0.00176193472797564,1.16096062779541
"Slovenia","SVN","Free",0.994653701782227,10.1375993705995,14.5631819080093,55.3377817873563,186.647076274632,88.9125,4.011,0.0000290010429182947,1.44821851662632
"Sweden","SWE","Free",0.00110693753231317,10.9023566254179,16.1656413267876,88.4038576504809,107.111751826512,95.0097,7.392,0.0268747965703022,2.21297577144472
"Eswatini","SWZ","Not Free",0.935488104820251,8.21491161544066,14.0134733175481,25.396682918542,92.5715871298334,57.465,35.359,0,-0.474469238532537
"Syrian Arab Republic (the)","SYR","Not Free",0.749377846717834,6.56846025151298,16.927343252372,72.6124992370605,35.6094680799956,34.65,13.268,1.61244237584659,-2.12092060246021
"Chad","TCD","Not Free",0.868066430091858,6.75995355137105,16.7308630170306,25.7635558629694,47.9883784319429,12.4865,1.096,2.87647374645951,-1.92942730260214
"Togo","TGO","Partly Free",0.977414011955261,6.75868435459342,16.022656642856,42.7332327975627,61.575092396894,35.5105,1.965,0,-1.93069649937978
"Thailand","THA","Not Free",0.286887437105179,8.74493185124218,18.0884939178288,59.742374420166,132.858712082871,87.9772,0.94,0.393161646476112,0.0555509972689894
"Tajikistan","TJK","Not Free",0.999067187309265,7.18973772908326,16.1361538163888,26.1957126615618,65.4355115893577,53.1078,11.634,0.252439633800697,-1.49964312488993
"Timor-Leste","TLS","Free",0.98520690202713,7.3649971046939,14.1298065668129,28.5857292288968,97.6211103607359,34.5102,1.537,1.8400979772257,-1.32438374927929
"Tonga","TON","Free",0.75,8.41935275165579,11.562115549161,21.147219451842,70.1272756617234,57.7181,2.302,0,-0.270028102317401
"Tunisia","TUN","Partly Free",0.999926090240479,8.29068036628246,16.3103125866006,69.707138648303,116.095794384146,70.5532,15.3,0.935686257228877,-0.398700487690732
"Turkey","TUR","Not Free",0.711278915405273,9.56616518824288,18.2579254688801,89.0381164550781,79.8982722314341,83.4372,10.465,0.129246697500975,0.876784334269681
"Tanzania, the United Republic of","TZA","Partly Free",0.859523594379425,6.97596081260517,17.985454447574,34.8234736377147,35.0034517101994,22.101,2.588,0,-1.71342004136802
"Uganda","UGA","Not Free",0.832318544387817,6.8385060064527,17.6722897179491,29.9251969709665,34.5053019270937,11.1246,2.886,0,-1.85087484752049
"Ukraine","UKR","Partly Free",0.406118035316467,7.53618416964291,17.5302713325095,69.42345912103,87.3965139907244,82.6753,9.834,0.246607692969241,-1.15319668433028
"Uruguay","URY","Free",0.1506487429142,9.8107336740484,15.03660976463,95.4977416992188,61.0307951043821,89.873,7.877,0.00966901920788954,1.1213528200752
"United States of America (the)","USA","Free",0.157959312200546,11.0648575856213,19.6267034088778,80.0324978239707,27.3139397355363,92.2016,3.65,0.477154659378154,2.37547673164815
"Uzbekistan","UZB","Not Free",0.960078835487366,8.18220020776562,17.3691129538085,50.9847412109375,62.8412525378517,83.9,4.49,0.624427327471598,-0.507180646207576
"Viet Nam","VNM","Not Free",0.85529363155365,8.19358354792451,18.4174821840091,37.5478515625,183.153619147836,78.59,1.523,0.51241289218738,-0.495797306048683
"Vanuatu","VUT","Free",0.834302246570587,7.915813725463,12.6541054235802,22.2541249733107,63.5996121674253,45.6747,5.143,0,-0.773567128510196
"Samoa","WSM","Free",0.75,8.31756074593124,12.2796065243524,17.5007949951039,60.8477796541449,57.3288,5.048,0,-0.371820108041959
"South Africa","ZAF","Free",0.693780899047852,8.66334598238841,17.9487297798803,63.4766699210327,64.94713440234,75.4556,33.268,0.33357820046821,-0.0260348715847822
"Zambia","ZMB","Partly Free",0.664122462272644,7.1692330348934,16.8188606421799,44.5988511178469,69.2973154193203,15,5.995,0,-1.5201478190798
"Zimbabwe","ZWE","Not Free",0.898809611797333,7.22198016472909,16.5924059929889,38.7055207169041,55.0673522476036,37.8861,10.087,0.0466629593981203,-1.46740068924411
